業,種 目,,,,,,,,,A(株価),,,
(製 造 業),,,,,,,,,,,,,
窯業・土石製品,,,,,,,,,,,,,
"",,26,4.0,30,252,185,185,174,182,201 184,185,182,201 202
製造業,,,,,,,,,,,,,
セメント・同製,,,,,,,,,,,,,
112品製造業,,27,2.6,15,163,112,112,110,110,118 111,112,110,118
その他の窯業・,,,,,,,,,,,,,
土石製品製造,,28,4.5,36,287,214,215,199,211,235 213,215,211,235 238
業,,,,,,,,,,,,,
鉄 鋼,業,29,3.8,23,293,144,151,120,124,128 141,151,124,128 127
非鉄金属製造業,,30,4.1,25,251,192,196,176,181,187 191,196,181,187 192
金属製品製造業,,31,4.8,30,309,221,220,215,213,219 220,220,213,219 222
建設用・建築,,,,,,,,,,,,,
用金属製品製,,32,3.8,24,257,189,187,186,182,189 189,187,182,189 194
造業,,,,,,,,,,,,,
その他の金属,,,,,,,,,,,,,
235製品製造業,,33,5.3,32,331,235,234,227,227,232 233,234,227,232
はん用機械器具,,,,,,,,,,,,,
"",,34,5.5,33,291,291,286,302,301,311 291,286,301,311 324
製造業,,,,,,,,,,,,,
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
(製 造 業),,,,,,,,,,,,,
生産用機械器具,,,,,,,,,,,,,
"",,35,5.8,38,247,305,300,322,317,320 304,300,317,320 327
製造業,,,,,,,,,,,,,
金属加工機械,,,,,,,,,,,,,
240製造業,,36,4.9,37,220,252,256,233,238,242 250,256,238,242
その他の生産,,,,,,,,,,,,,
用機械器具製,,37,6.0,39,256,322,315,351,343,346 322,315,343,346 355
造業,,,,,,,,,,,,,
業務用機械器具,,,,,,,,,,,,,
"",,38,5.3,39,248,332,331,334,336,346 332,331,336,346 347
製造業,,,,,,,,,,,,,
電子部品・デバ,,,,,,,,,,,,,
イス・電子回路,,39,4.0,24,210,307,298,330,333,349 309,298,333,349 369
製造業,,,,,,,,,,,,,
電子部品製造,,,,,,,,,,,,,
273業,,40,4.4,23,236,246,245,244,252,261 246,245,252,261
電子回路製造,,,,,,,,,,,,,
111業,,41,1.7,14,112,105,103,96,100,107 103,103,100,107
その他の電子,,,,,,,,,,,,,
部品・デバイ,,,,,,,,,,,,,
517ス・電子回路製,,42,4.6,27,226,413,396,463,463,485 417,396,463,485
造業,,,,,,,,,,,,,
業 種 目,,,,,,,,,,A(株価),,,
"",,,B,C,D,,,,,,,,
大 分,類,,,,,,,9月分,,,,10月分,
"",,番,,,,,,,,,,,
中 分,類,,配当,利益,簿価,1,2,3,4,5 1,2,3,4 5
"",,号,,,,,,,,,,,
"",,,,,純資,課税時期,,,,課税時期,,,
"",,,,,,,,課税時期,,,,課税時期,
"",,,金額,金額,産価,の属する,前年平均 の属する,課税時期 課税時期 の属する,,,前年平均 の属する,,課税時期 課税時期
小 分,類,,,,額額,月以前 2年間の,株価,の属する の属する 月の 月の前月,,月以前 月 2年間の,株価,月の,の属する の属する月の前月 月
"",,,,,,,,前々月,,,,前々月,
"",,,,,,平均株価,,,,平均株価,,,
(製 造 業),,,,,,,,,,,,,
電気機械器具製,,,,,,,,,,,,,
"",,43,4.8,32,256,347,337,361,385,419 348,337,385,419 417
